Publish Date,Publisher,Title,Written by
2013 Nov 15,J Physiol,Texture-dependent motion signals in primate middle temporal area.,Solomon SG et al.
2014 Aug,Neurocase,Fluorodeoxyglucose F18 positron emission tomography in a case of slowly progressive pure alexia.,Drubach DA et al.
2014 Jan 1,Neuroimage,The emotion-action link? Naturalistic emotional stimuli preferentially activate the human dorsal visual stream.,Malach R et al.
2013 Oct 9,Brain Res,Enhancing insight in scientific problem solving by highlighting the functional features of prototypes: an fMRI study.,Zhang Q et al.
2014 Jan 1,Neuroimage,Infrared neural stimulation of primary visual cortex in non-human primates.,Roe AW et al.
2013 Sep 23,Curr Biol,Tracing inputs to inhibitory or excitatory neurons of mouse and cat visual cortex with a targeted rabies virus.,Lyon DC et al.
2015 Apr 1,Biol Psychiatry,Body recognition in a patient with bilateral primary visual cortex lesions.,de Gelder B et al.
2013,PLoS One,Regional neural response differences in the determination of faces or houses positioned in a wide visual field.,Kanazawa S et al.
2013,PLoS One,Adaptor identity modulates adaptation effects in familiar face identification and their neural correlates.,Kovács G et al.
2013 Oct 9,Invest Ophthalmol Vis Sci,BDNF treatment and extended recovery from optic nerve trauma in the cat.,Harman CD et al.
2013 Aug 29,BMJ Case Rep,Perimetric demonstration of spontaneous visual field recovery following occipital lobe haemorrhage.,Wilson-Holt NJ et al.
2013 Sep,Arch Soc Esp Oftalmol,[Charles Bonnet syndrome precipitated by brimonidine].,García-Sánchez J et al.
2013 Aug,Zhongguo Yi Xue Ke Xue Yuan Xue Bao,[Effect of subanaesthetic dose of ketamine on mechanical stimulus on brain regions].,Ye TH et al.
2013 Aug 28,J Vis,The locus of color sensation: cortical color loss and the chromatic visual evoked potential.,Berryhill ME et al.
2013 Aug 28,J Neurosci,Joint representation of depth from motion parallax and binocular disparity cues in macaque area MT.,DeAngelis GC et al.
2014 Jan 1,J Comp Neurol,Anatomy of hierarchy: feedforward and feedback pathways in macaque visual cortex.,Kennedy H et al.
2013 Sep,Brain,The role of human ventral visual cortex in motion perception.,Behrmann M et al.
2014 Apr 1,J Comp Neurol,"Expression of m1-type muscarinic acetylcholine receptors by parvalbumin-immunoreactive neurons in the primary visual cortex: a comparative study of rat, guinea pig, ferret, macaque, and human.",Reynolds JH et al.
2013 Dec,Ann Nucl Med,Massive accumulation of 11C-Pittsburg compound B in the occipital lobes of a patient with early-onset dementia accompanied by muscle weakness and hypertonicity.,Matsuda H et al.
2013 Sep,Nat Neurosci,A finely tuned cortical amplifier.,Mrsic-Flogel T et al.
2013 Sep 10,Proc Natl Acad Sci U S A,Expanding the primate body schema in sensorimotor cortex by virtual touches of an avatar.,Nicolelis MA et al.
2013,PLoS One,Default-mode network changes in Huntington's disease: an integrated MRI study of functional connectivity and morphometry.,De Michele G et al.
2013,PLoS One,Decomposing effects of time on task reveals an anteroposterior gradient of perceptual decision regions.,Kayser AS et al.
2013 Sep,Exp Biol Med (Maywood),Cholinergic enhancement differentially modulates neural response to encoding during face identity and face location working memory tasks.,Furey ML et al.
2013 Sep 26,Nature,A disinhibitory microcircuit initiates critical-period plasticity in the visual cortex.,Trachtenberg JT et al.
2013 Oct,Nat Neurosci,Spontaneous cortical activity alternates between motifs defined by regional axonal projections.,Murphy TH et al.
2013 Oct,Clin Neurol Neurosurg,Demyelinating encephalopathy in adult onset Still's disease: case report and review of the literatures.,Zhongxin X et al.
2013 Nov,J Neurosurg,Partly reversible central auditory dysfunction induced by cerebral vasospasm after subarachnoid hemorrhage.,Hantson P et al.
2013,Sci Rep,Cortical network properties revealed by SSVEP in anesthetized rats.,Yao D et al.
2013 Nov,Anesthesiology,Simultaneous electroencephalographic and functional magnetic resonance imaging indicate impaired cortical top-down processing in association with anesthetic-induced unconsciousness.,Schneider G et al.
2013 Aug 19,Curr Biol,Vision: more than expected in the early visual system.,Niell CM et al.
2013 Nov,Vis Neurosci,Linking brain to behavior for the visual perception of figures and objects.,Mendola JD et al.
2013,PLoS One,Right occipital cortex activation correlates with superior odor processing performance in the early blind.,De Volder AG et al.
2013,PLoS Comput Biol,Simulating cortical development as a self constructing process: a novel multi-scale approach combining molecular and physical aspects.,Douglas RJ et al.
2013 Aug 21,J Neurosci,MHCI requires MEF2 transcription factors to negatively regulate synapse density during development and in disease.,McAllister AK et al.
2013,Multisens Res,Early interaction between vision and touch during binocular rivalry.,Morrone MC et al.
2013,Front Neurosci,A multi-site resting state fMRI study on the amplitude of low frequency fluctuations in schizophrenia.,Calhoun VD et al.
2014 Jul,Magn Reson Med,"Slab-selective, BOLD-corrected VASO at 7 Tesla provides measures of cerebral blood volume reactivity with high signal-to-noise ratio.",Turner R et al.
2013 Oct,Exp Brain Res,Supramodal and modality-sensitive representations of perceived action categories in the human brain.,Hamilton AF et al.
2015 Feb,J Autism Dev Disord,Joint analysis of band-specific functional connectivity and signal complexity in autism.,Roberts TP et al.
2013 Nov,Vis Neurosci,Linking minds and brains.,Barlow H et al.
2014 Jul,Mol Psychiatry,"Amount of lifetime video gaming is positively associated with entorhinal, hippocampal and occipital volume.",Gallinat J et al.
2013 Oct,Trends Cogn Sci,Imagery and visual working memory: one and the same?,Tong F et al.
2014 Jan,Psychopharmacology (Berl),Cortical glutathione levels in young people with bipolar disorder: a pilot study using magnetic resonance spectroscopy.,Cowen PJ et al.
2013 Oct 18,Vision Res,Perceptual consequence of normalization revealed by a novel brightness induction.,Kang MS et al.
2013 Nov 12,Neuroscience,Neurochemical changes within human early blind occipital cortex.,Fine I et al.
2013 Dec 2,Prog Neuropsychopharmacol Biol Psychiatry,Perceptual and cognitive effects of antipsychotics in first-episode schizophrenia: the potential impact of GABA concentration in the visual cortex.,Kéri S et al.
2014 Feb 1,Biol Psychiatry,Brain organization underlying superior mathematical abilities in children with autism.,Menon V et al.
2014 Mar-Apr,J Clin Ultrasound,Dilated intracranial translucency and Blake's pouch cyst: first-trimester ultrasound markers of occipital cephalocele diagnosed using novel three-dimensional reslicing technique.,Grisolia G et al.
2013,J Alzheimers Dis,Reduced visual event-related δ oscillatory responses in amnestic mild cognitive impairment.,Başar E et al.
2013 Nov-Dec,Cortex,Failure in developing high-level visual functions after occipitoparietal lesions at an early age: a case study.,Liu J et al.
2014 Mar,Semin Ophthalmol,The expression of vasoactive intestinal polypeptide in visual cortex-17 in normal visual development and formation of anisometropic amblyopia.,Zhang MX et al.
2013 Dec,J Neurol Neurosurg Psychiatry,Elevated occipital β-amyloid deposition is associated with widespread cognitive impairment in logopenic progressive aphasia.,Josephs KA et al.
2013 Aug 14,J Neurosci,Organization and origin of spatial frequency maps in cat visual cortex.,Milleret C et al.
2013 Jul,Pol Przegl Chir,Brain metastasis as the first symptom of gastric cancer--case report and literature review.,Karaszewska B et al.
2013 Oct,J Cogn Neurosci,Dissociation between goal-directed and discrete response localization in a patient with bilateral cortical blindness.,Pegna AJ et al.
2013 Jun 17,Curr Biol,Denis Pelli.,Pelli D et al.
2014 Nov,Brain Struct Funct,Primary visual cortex projections to extrastriate cortices in enucleated and anophthalmic mice.,Boire D et al.
2014 May,Psychol Med,Short-term effects of escitalopram on regional brain function in first-episode drug-naive patients with major depressive disorder assessed by resting-state functional magnetic resonance imaging.,Si T et al.
2014 Mar,Vis Neurosci,Processing of the S-cone signals in the early visual cortex of primates.,Xiao Y et al.
2013 Oct,Eur J Neurosci,Energy-efficient encoding by shifting spikes in neocortical neurons.,Volgushev M et al.
2013 Oct,Eur J Neurosci,Network mechanisms of responsiveness to continuous theta-burst stimulation.,Guggisberg AG et al.
2013 Aug 13,BMC Res Notes,Occipital lobe epilepsy secondary to posterior reversible encephalopathy syndrome (PRES) during a post-partum eclampsia in Mali (West Africa).,Christian N et al.
2013 Oct 23,Neuroreport,Auditory click stimuli evoke event-related potentials in the visual cortex.,Holmes MD et al.
2013 Aug 12,Behav Brain Funct,Voxel-level comparison of arterial spin-labeled perfusion magnetic resonance imaging in adolescents with internet gaming addiction.,Du Y et al.
2014 Jan,J Cogn Neurosci,Dorsal and ventral attention systems underlie social and symbolic cueing.,Corbetta M et al.
2013,Neural Plast,Gene expression patterns underlying the reinstatement of plasticity in the adult visual system.,Castrén E et al.
2013,Front Neuroanat,"Neuroanatomical differences in visual, motor, and language cortices between congenitally deaf signers, hearing signers, and hearing non-signers.",Damasio H et al.
2013 Sep,Nat Neurosci,Tuned thalamic excitation is amplified by visual cortical circuits.,Scanziani M et al.
2013 Oct,Brain Cogn,Developmental dissociation of visual dorsal stream parvo and magnocellular representations and the functional impact of negative retinotopic BOLD responses.,Castelo-Branco M et al.
2013 Nov 6,Brain Res,Natural image sequences constrain dynamic receptive fields and imply a sparse code.,Nawrot MP et al.
2014 Feb 1,Neuroimage,Separate parts of occipito-temporal white matter fibers are associated with recognition of faces and places.,Yovel G et al.
2013 Oct,Clin Radiol,MRI of optic tract lesions: review and correlation with visual field defects.,Ramli NM et al.
2013 Sep 4,Neuron,Natural scene statistics account for the representation of scene categories in human visual cortex.,Gallant JL et al.
2013 Dec,Parkinsonism Relat Disord,Early cortical gray matter loss and cognitive correlates in non-demented Parkinson's patients.,Huang X et al.
2013 Oct,J Neural Eng,Suprachoroidal electrical stimulation: effects of stimulus pulse parameters on visual cortical responses.,Fallon JB et al.
2013 Sep,Trends Cogn Sci,Illusory contours: a window onto the neurophysiology of constructing perception.,Herrmann CS et al.
2013 Oct,Cortex,Common (and multiple) neural substrates for static and dynamic motion after-effects: a rTMS investigation.,Pavan A et al.
2013 Nov 15,J Neurol Sci,A follow up study of non-demented patients with primary visual cortical hypometabolism: prodromal dementia with Lewy bodies.,Sato K et al.
2014 Jan,J Neurol Neurosurg Psychiatry,Posterior cingulate epilepsy: clinical and neurophysiological analysis.,Gonzalez-Martinez J et al.
2013 Aug 7,J Neurosci,How to scale down postsynaptic strength.,Turrigiano GG et al.
2013 Aug 7,J Neurosci,Adrenergic gating of Hebbian spike-timing-dependent plasticity in cortical interneurons.,Kirkwood A et al.
2013 Aug 7,J Neurosci,Atypical retinotopic organization of visual cortex in patients with central brain damage: congenital and adult onset.,DeYoe EA et al.
2013 Aug 6,J Vis,Modeling a space-variant cortical representation for apparent motion.,Yazdanbakhsh A et al.
2013 Nov,Vis Neurosci,An examination of linking hypotheses drawn from the perceptual consequences of experimentally induced changes in neural circuitry.,Lomber SG et al.
2014 Jan,J Cogn Neurosci,The emergence of semantic meaning in the ventral temporal pathway.,Slevc LR et al.
2013 Nov,J Cogn Neurosci,Dynamic oscillatory processes governing cued orienting and allocation of auditory attention.,Hämäläinen M et al.
2013 Aug,J Clin Neurophysiol,Electropysiologic evaluation of the visual pathway in patients with multiple sclerosis.,Garcia-Martin E et al.
2013 Aug,J Clin Neurophysiol,Status epilepticus amauroticus and posterior reversible encephalopathy syndrome in children.,Connolly MB et al.
2014 Jan 15,Neuroimage,Hemodynamic and electrophysiological spontaneous low-frequency oscillations in the cortex: directional influences revealed by Granger causality.,Hu D et al.
2013 Dec,Clin Neurophysiol,Animal category-preferential gamma-band responses in the lower- and higher-order visual areas: intracranial recording in children.,Asano E et al.
2013 Aug,J Forensic Leg Med,Primary pulmonary rhabdomyosarcoma with brain metastases in a child: a case report with medico-legal implications.,Wu L et al.
2013 May,J Korean Neurosurg Soc,Prognostic factors and therapeutic outcomes in 22 patients with pleomorphic xanthoastrocytoma.,Kim CJ et al.
2013 Oct 30,Psychiatry Res,Cannabis abuse is associated with better emotional memory in schizophrenia: a functional magnetic resonance imaging study.,Potvin S et al.
